code,n_seg,n_src,n_sch,sheet
LEAD-EXPECT-QUALITY,13,13,5,04_LEADERSHIP
CTX-TENURE-EDU,13,13,5,00_CONTEXT
CTX-TEACHERS,13,13,5,00_CONTEXT
COMMIT-INITIATIVE,13,13,4,02_INDIVIDUAL
COMMIT-CONTRIBUTE,13,13,5,02_INDIVIDUAL
COMM-RESPOND,12,12,5,05_COMMUNICATION_PARTICIPATION
VALUE-INTERNALIZED,12,12,5,03_COLLECTIVE
RESP-PARENT,12,12,4,02_INDIVIDUAL
QVAL-RECOGNITION,12,12,5,06_QCULT_IDENTIFICATION
RESP-SPREAD-QVALUE,12,12,4,02_INDIVIDUAL
RESP-TEAM-LEAD,12,12,5,02_INDIVIDUAL
QA-COMPLIANCE,12,12,4,01_STRUCTURAL
CAUSE-EXTERNAL,12,12,5,09_CAUSES
CAUSE-LEADERSHIP,12,12,4,09_CAUSES
COMM-OPEN,12,12,4,05_COMMUNICATION_PARTICIPATION
COLLAB-TEAM,12,12,5,05_COMMUNICATION_PARTICIPATION
GOV-DECISION,12,12,4,04_LEADERSHIP
COMM-LISTEN,12,12,4,05_COMMUNICATION_PARTICIPATION
OUT-POLICY-SAT,12,12,5,07_RELATED_OUTCOMES
OUT-WORK-ENG,12,12,5,07_RELATED_OUTCOMES
PART-INITIATIVE,12,12,5,05_COMMUNICATION_PARTICIPATION
QA-EVIDENCE,12,12,5,01_STRUCTURAL
QVAL-CONTINUOUS,11,11,4,06_QCULT_IDENTIFICATION
LEAD-PD-SUPPORT,11,11,4,04_LEADERSHIP
COMM-ONEDIR,11,11,3,05_COMMUNICATION_PARTICIPATION
CHAL-COMM-FEEDBACK,11,11,4,08_CHALLENGES
GOV-MECH,11,11,2,04_LEADERSHIP
OUT-PD-FREQ,11,11,5,07_RELATED_OUTCOMES
ENG-COLLEAGUE,11,11,5,02_INDIVIDUAL
QA-GOAL-ALIGN,11,11,5,01_STRUCTURAL
CTX-MIDDLE-MGMT,11,11,3,00_CONTEXT
QVAL-RESP-COMMIT,11,11,5,06_QCULT_IDENTIFICATION
QVAL-TRANSPARENT,11,11,5,06_QCULT_IDENTIFICATION
QVAL-PRIORITY-TOP5,11,11,3,06_QCULT_IDENTIFICATION
COMM-PARENT-DIALOGUE,11,11,4,05_COMMUNICATION_PARTICIPATION
CHAL-CURR-ALIGN,10,10,5,08_CHALLENGES
COMM-TRANSPARENT,10,10,4,05_COMMUNICATION_PARTICIPATION
TRUST-LEVEL-HIGH,10,10,4,03_COLLECTIVE
SOL-SUSTAIN,10,10,4,10_SOLUTIONS
QCULT-A-INDECISIVE,10,10,3,06_QCULT_IDENTIFICATION
QCULT-D-LEARNING,10,10,5,06_QCULT_IDENTIFICATION
QVAL-TRUST-COLLAB,10,10,3,06_QCULT_IDENTIFICATION
RESP-TEACHING,10,10,5,02_INDIVIDUAL
QA-IMPLEMENT,10,10,5,01_STRUCTURAL
QA-SURVEY-STUDENT,10,10,4,01_STRUCTURAL
QA-DEPT,10,10,4,01_STRUCTURAL
QA-DATA-ACCESS,10,10,5,01_STRUCTURAL
COMM-BARRIER,10,10,4,05_COMMUNICATION_PARTICIPATION
OUT-PD-APPLY,10,10,5,07_RELATED_OUTCOMES
OUT-PD-IMPROVE,10,10,5,07_RELATED_OUTCOMES
LEAD-TURNOVER,10,10,4,04_LEADERSHIP
CHAL-CURR-INTL,10,10,4,08_CHALLENGES
LEAD-ACCOMPANY,10,10,3,04_LEADERSHIP
LEAD-EMPOWER,10,10,3,04_LEADERSHIP
CAUSE-GOVERNANCE,10,10,2,09_CAUSES
CHAL-DECISION,9,9,3,08_CHALLENGES
CHAL-CURR-CONF,9,9,4,08_CHALLENGES
CHAL-HR-RETENTION,9,9,5,08_CHALLENGES
COMM-PARENT-PARTNERSHIP,9,9,4,05_COMMUNICATION_PARTICIPATION
COMM-PARENT-LISTEN,9,9,4,05_COMMUNICATION_PARTICIPATION
LEAD-FEEDBACK-USEFUL,9,9,3,04_LEADERSHIP
QVAL-CLEAR-POLICY,9,9,3,06_QCULT_IDENTIFICATION
SOL-GOV-MECH,9,9,3,10_SOLUTIONS
COMMIT-EXTRA,9,9,4,02_INDIVIDUAL
LEAD-FLEXIBLE,8,8,3,04_LEADERSHIP
LEAD-EXPECT-CLEAR,8,8,5,04_LEADERSHIP
ENG-WORK,8,8,3,02_INDIVIDUAL
COLLAB-PEER,8,8,4,05_COMMUNICATION_PARTICIPATION
QA-ACCRED-ORG,8,8,4,01_STRUCTURAL
PART-SUPPORTED,8,8,3,05_COMMUNICATION_PARTICIPATION
PART-WORKSHOP,8,8,5,05_COMMUNICATION_PARTICIPATION
